No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
314,Services,Modern Southeast Asian Cuisine,Male,Percentage,,,0.0%,10.0%,90.0%,10.0%
315,Services,Modern Southeast Asian Cuisine,Female,Number,5,4,0,0,4,0
316,Services,Modern Southeast Asian Cuisine,Female,Percentage,,,0.0%,0.0%,100.0%,0.0%
317,Services,Modern Southeast Asian Cuisine,Total,Number,15,14,0,1,13,1
318,Services,Modern Southeast Asian Cuisine,Total,Percentage,,,0.0%,7.1%,92.9%,7.1%
319,Services,Pâtisserie and Café Operations,Male,Number,417,393,6,32,329,64
320,Services,Pâtisserie and Café Operations,Male,Percentage,,,1.5%,8.1%,83.7%,16.3%
321,Services,Pâtisserie and Café Operations,Female,Number,456,443,52,142,432,11
322,Services,Pâtisserie and Café Operations,Female,Percentage,,,11.7%,32.1%,97.5%,2.5%
323,Services,Pâtisserie and Café Operations,Total,Number,873,836,58,174,761,75
324,Services,Pâtisserie and Café Operations,Total,Percentage,,,6.9%,20.8%,91.0%,9.0%
325,Services,Western Cuisine,Male,Number,232,218,7,27,211,7
326,Services,Western Cuisine,Male,Percentage,,,3.2%,12.4%,96.8%,3.2%
327,Services,Western Cuisine,Female,Number,198,189,15,45,184,5
328,Services,Western Cuisine,Female,Percentage,,,7.9%,23.8%,97.4%,2.6%
329,Services,Western Cuisine,Total,Number,430,407,22,72,395,12
330,Services,Western Cuisine,Total,Percentage,,,5.4%,17.7%,97.1%,2.9%
331,All Category B subjects (except Applied Learning Chinese),,Male,Number,3621,3415,198,691,2898,517
332,All Category B subjects (except Applied Learning Chinese),,Male,Percentage,,,5.8%,20.2%,84.9%,15.1%
333,All Category B subjects (except Applied Learning Chinese),,Female,Number,3457,3304,386,1161,3103,201
334,All Category B subjects (except Applied Learning Chinese),,Female,Percentage,,,11.7%,35.1%,93.9%,6.1%
335,All Category B subjects (except Applied Learning Chinese),,Total,Number,7078,6719,584,1852,6001,718
336,All Category B subjects (except Applied Learning Chinese),,Total,Percentage,,,8.7%,27.6%,89.3%,10.7%
